ratio	threshold	n_above	total	pct_above
80	0.3988	1333	135181	0.99
81	0.3934	1358	135181	1.00
82	0.3777	1452	135181	1.07
83	0.3707	1498	135181	1.11
84	0.3574	1586	135181	1.17
85	0.3381	1757	135181	1.30
86	0.3241	1893	135181	1.40
87	0.3051	2119	135181	1.57
88	0.2819	2529	135181	1.87
89	0.2617	2951	135181	2.18
90	0.2407	3495	135181	2.59
91	0.2178	4243	135181	3.14
92	0.1910	5568	135181	4.12
93	0.1675	7448	135181	5.51
94	0.1454	11009	135181	8.14
95	0.1183	21857	135181	16.17
96	0.0901	47661	135181	35.26
97	0.0675	80552	135181	59.59
98	0.0479	116259	135181	86.00
99	0.0356	127670	135181	94.44
